Título,Autores,Ano,Link
A importância da tecnologia e inovação na prática profissional ea relevância do curso de Licenciatura em Computação,['CF Rodrigues'],2021,https://www.cead.ufjf.br/wp-content/uploads/2021/11/revista-lynx-v1-n2-2021-2.pdf#page=70
Machine learning e análise preditiva em saúde: um estudo de caso sobre detecção de anomalias em contas médicas do Exército,['SRP Vitoria'],2022,https://bdtd.ucb.br:8443/jspui/handle/tede/3198
Reflexões da Comunidade Brasileira de IHC,"['R Pereira', 'T Darin', 'MS Silveira']",2024,https://sol.sbc.org.br/index.php/ihc_estendido/article/view/30676
Classificaçao automática de questoes de provas: análise comparativa de algoritmos e aplicaçao ao enade,['LR Araujo'],2021,https://repositorio.ufsm.br/handle/1/20341
A interferência da learning analytics na avaliação de impacto e desempenho de bibliotecas universitárias,['GS Lago'],NA,Sem link disponível
Smart hospital: prospecção tecnológica de internet das coisas aplicada em ambientes hospitalares,['FRE Moura'],2020,https://www.repositorio.ufal.br/handle/riufal/7805
Jurisdição penal imparcial e inteligência artificial: a (im) parcialidade do juiz-robô,['GG Nascimento'],2023,https://repositorio.pucrs.br/dspace/bitstream/10923/26114/1/000508181-Texto%2Bcompleto-0.pdf
Visualization of brainwaves using EEG to map emotions with eye tracking to identify attention in audiovisual workpieces,"['THCT Da Silva', 'MD Cavalcanti', 'FMF De Sá']",2022,https://dl.acm.org/doi/abs/10.1145/3539637.3557055
Digital competences and abilities required from information professionals in Brazilian online job ads.,"['FC Paletta', 'JA Pastor-Sánchez']",2021,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=13866710&AN=149915378&h=XzMxqxwNKL5WjKBS5kqiFq9z6qb1OratUCPzS%2B%2BA%2B3yijSMWJ%2B1dvaCS3wtBQMpqi7pw89mxtrEK5MgJ7HpJqA%3D%3D&crl=c
Prediçao de risco soberano a partir de indicadores de desenvolvimento do Banco Mundial,['DRB Silva'],2018,https://repositorio.ufpb.br/jspui/handle/123456789/16065
O discurso na prática clínica e as terminologias de padronização: investigando a conexão,['AD de Souza'],2021,https://repositorio.ufmg.br/handle/1843/38044
Identificação das competências para a formação do Digital Lean thinking no contexto da indústria 4.0,"['AHG Rossi¹', 'P Leitão', 'J Pontes']",NA,https://www.researchgate.net/profile/Fabio-Miranda-9/publication/371446151_Capitulo_6_Riscos_ocupacionais_na_fabricacao_de_produtos_em_metais-pesados_e_ferramentas_de_corte_em_metais-duros_na_industria_metalmecanica_Pag_93/links/6483a979d702370600de667d/Capitulo-6-Riscos-ocupacionais-na-fabricacao-de-produtos-em-metais-pesados-e-ferramentas-de-corte-em-metais-duros-na-industria-metalmecanica-Pag-93.pdf#page=211
Sistemas inteligentes afetivos na saúde: uma revisão sistemática,['TL Reis'],2024,https://repositorio.ufsc.br/handle/123456789/262152
